158.13;3570.73;33453.98;1061.14
159.13;3524.31;34070.17;1093.12
160.13;3476.94;34706.47;1126.37
161.13;3428.63;35362.88;1160.95
162.13;3381.26;36013.2;1195.5
163.14;3334.84;36656.54;1229.98
164.14;3287.47;37318.65;1265.83
165.14;3240.1;37985.9;1302.33
166.14;3192.74;38657.69;1339.48
167.14;3146.32;39319.86;1376.53
168.14;3098.95;39998.77;1414.99
169.14;3051.58;40680.26;1454.12
170.14;3004.77;41363.61;1493.41
171.14;2985.03;42046.04;1507.23
172.14;2965.29;42725.65;1521.4
173.14;2945.56;43402.68;1535.87
174.14;2925.43;44090.75;1550.95
175.14;2906.08;44749.63;1565.73
176.14;2886.35;45419.9;1581.1
177.14;2867.01;46074.9;1596.43
178.14;2847.27;46741.53;1612.35
179.14;2827.53;47406.56;1628.55
180.15;2807.8;48070.15;1645.01
181.15;2787.67;48745.68;1662.07
182.15;2768.32;49393.61;1678.72
183.15;2748.59;50053.81;1695.96
184.15;2729.25;50700.01;1713.1
185.15;2709.11;51371.91;1731.2
186.15;2707.54;52028.76;1729.36
187.15;2707.54;52682.04;1725.86
188.15;2707.54;53331.75;1722.41
189.15;2707.54;53977.91;1719.01
190.15;2707.54;54620.54;1715.66
191.15;2707.54;55259.66;1712.36
192.15;2707.54;55882.59;1709.16
193.15;2707.54;56514.78;1705.93
194.15;2707.54;57143.49;1702.74
195.15;2707.54;57768.74;1699.59
196.15;2707.54;58402.92;1696.41
197.15;2707.54;59008.86;1693.39
198.15;2707.54;59611.49;1690.39
199.15;2707.54;60235.22;1687.3
200.15;2707.54;60831.13;1684.36
201.15;2707.54;61447.87;1681.32
202.16;2707.54;62037.08;1678.43
203.16;2707.54;62646.87;1675.44
204.16;2707.54;63241.25;1672.54
205.16;2707.54;63832.24;1669.66
206.16;2707.54;64419.83;1666.8
207.16;2707.54;65004.03;1663.97
208.16;2707.54;65573.26;1661.21
209.16;2707.54;66150.77;1658.43
210.16;2707.54;66724.89;1655.67
211.16;2707.54;67295.65;1652.93
212.16;2707.54;67863.04;1650.21
213.16;2707.54;68427.06;1647.52
214.16;2707.54;68987.73;1644.84
215.16;2707.54;69545.04;1642.18
216.16;2707.54;70087.96;1639.6
217.16;2707.54;70638.7;1636.97
218.16;2707.54;71186.09;1634.37
219.16;2707.54;71730.13;1631.78
220.16;2707.54;72270.83;1629.2
221.17;2707.54;72808.18;1626.64
222.17;2707.54;73342.19;1624.1
223.17;2707.54;73883.44;1621.53
224.17;2707.54;74410.7;1619.02
225.17;2707.54;74934.63;1616.52
226.17;2707.54;75455.22;1614.04
227.17;2707.54;75962.16;1611.63
228.17;2707.54;76476.15;1609.18
229.17;2707.54;76996.99;1606.7
230.17;2707.54;77504.25;1604.29
231.17;2707.54;78008.19;1601.89
232.17;2707.54;78508.8;1599.51
233.17;2707.54;78996.18;1597.19
234.17;2707.54;79500.06;1594.79
235.17;2707.54;79990.71;1592.45
236.17;2707.54;80478.03;1590.13
237.17;2707.54;80962.05;1587.83
238.17;2707.54;81442.74;1585.54
239.17;2707.54;81920.13;1583.27
240.17;2707.54;82394.2;1581.01
241.17;2707.54;82864.96;1578.77
242.17;2707.54;83332.41;1576.55
243.17;2707.54;83741.02;1574.6
244.18;2707.54;84202.26;1572.41
245.18;2707.54;84660.18;1570.23
246.18;2707.54;85114.81;1568.06
247.18;2707.54;85566.14;1565.91
248.18;2707.54;86273.33;1562.55
249.18;2707.54;88566.01;1551.63
250.18;2707.54;94629.03;1522.74
251.18;2707.54;108007.31;1458.83
252.18;2707.54;114958.69;1425.49
253.18;2707.54;116024.24;1420.37
254.18;2707.54;116494.71;1418.11
255.18;2707.54;116585.24;1417.67
256.18;2707.54;116614.86;1417.53
257.18;2707.54;116641.3;1417.4
258.18;2707.54;116664.56;1417.29
259.18;2707.54;116684.62;1417.2
260.18;2707.54;116701.51;1417.12
261.19;2707.54;116715.2;1417.05
262.19;2707.54;116725.71;1417.0
263.19;2707.54;116733.03;1416.96
264.19;2707.54;116737.17;1416.94
265.19;2707.54;116738.12;1416.94
266.19;2707.54;116735.88;1416.95
267.19;2707.54;116730.46;1416.98
268.19;2707.54;116721.85;1417.02
269.19;2650.69;116710.29;1481.58
270.19;2571.75;116696.75;1573.57
271.19;2492.8;116681.96;1668.42
272.19;2413.86;116666.71;1766.32
273.19;2334.91;116651.82;1867.45
274.19;2255.97;116638.24;1972.06
275.19;2233.86;116626.16;2002.03
276.19;2233.86;116614.12;2002.07
277.19;2233.86;116601.78;2002.12
278.19;2233.86;116589.87;2002.16
279.2;2233.86;116577.66;2002.2
280.2;2233.86;116565.4;2002.24
281.2;2233.86;116553.08;2002.28
282.2;2233.86;116540.46;2002.32
283.2;2233.86;116528.03;2002.37
284.2;2233.86;116515.55;2002.41
285.2;2233.86;116503.01;2002.45
286.2;2233.86;116490.67;2002.49
287.2;2233.86;116477.77;2002.54
288.2;2233.86;116465.07;2002.58
289.2;2233.86;116452.31;2002.62
290.2;2233.86;116439.5;2002.67
291.2;2233.86;116426.64;2002.71
292.2;2233.86;116413.73;2002.76
293.2;2233.86;116400.75;2002.8
294.2;2233.86;116387.73;2002.84
295.2;2233.86;116374.65;2002.89
296.2;2233.86;116361.52;2002.93
297.2;2233.86;116348.34;2002.98
298.2;2233.86;116335.1;2003.02
299.2;2233.86;116321.82;2003.07
300.21;2233.86;116308.47;2003.11
301.21;2233.86;116297.49;2003.15
302.21;2233.86;116285.13;2003.19
303.21;2233.86;116271.65;2003.24
304.21;2233.86;116258.11;2003.29
305.21;2233.86;116244.52;2003.33
306.21;2233.86;116231.15;2003.38
307.21;2233.86;116217.46;2003.42
308.21;2233.86;116203.44;2003.47
309.21;2233.86;116189.64;2003.52
310.21;2233.86;116176.07;2003.56
311.21;2233.86;116162.17;2003.61
312.21;2233.86;116148.22;2003.66
313.21;2233.86;116134.5;2003.71
314.21;2233.86;116120.17;2003.76
315.21;2233.86;116106.34;2003.8
316.21;2233.86;116091.91;2003.85
317.21;2233.86;116077.99;2003.9
318.21;2233.86;116063.73;2003.95
319.22;2233.86;116050.0;2003.99
320.22;2233.86;116035.36;2004.04
321.22;2233.86;116021.25;2004.09
322.22;2233.86;116006.79;2004.14
323.22;2233.86;115992.29;2004.19
324.22;2233.86;115978.03;2004.24
325.22;2233.86;115963.43;2004.29
326.22;2233.86;115948.78;2004.34
327.22;2233.86;115934.08;2004.39
328.22;2233.86;115919.33;2004.44
329.22;2233.86;115904.83;2004.49
330.22;2233.86;115889.99;2004.54
331.22;2233.86;115874.8;2004.59
332.22;2233.86;115859.85;2004.64
333.22;2233.86;115844.86;2004.69
334.22;2233.86;115829.82;2004.74
335.22;2233.86;115814.74;2004.8
336.23;2233.86;115799.6;2004.85
337.23;2233.86;115784.42;2004.9
338.23;2233.86;115769.19;2004.95
339.23;2233.86;115753.91;2005.0
340.23;2233.86;115738.58;2005.06
341.23;2233.86;115723.21;2005.11
342.23;2233.86;115708.1;2005.16
343.23;2233.86;115692.63;2005.21
344.23;2233.86;115677.12;2005.26
345.23;2233.86;115662.49;2005.31
346.23;2233.86;115647.82;2005.36
347.23;2233.86;115632.8;2005.42
348.23;2233.86;115617.11;2005.47
349.23;2233.86;115601.37;2005.52
350.23;2233.86;115585.91;2005.58
351.23;2233.86;115570.4;2005.63
